ピーク名,p値,q値,重要度,総合ランク
flavanoids,1.7056949070350415e-60,2.217403379145554e-59,0.1822404898500524,2.0
proline,6.581573741215945e-48,4.278022931790364e-47,0.13584715145876963,6.0
alcohol,1.6996774808079022e-43,5.523951812625682e-43,0.1658763943925033,7.0
color_intensity,1.4325011499854538e-37,3.7245029899621794e-37,0.1817846010444286,7.0
od280/od315_of_diluted_wines,6.548923354721782e-47,2.837866787046105e-46,0.0946383338268306,8.0
hue,6.959398995506318e-31,1.20949032619895e-30,0.06336482435858361,14.0
malic_acid,7.443017391993539e-31,1.20949032619895e-30,0.07246203290476366,14.0
total_phenols,1.5712241126809561e-31,3.4043189108087383e-31,0.026030384519271164,15.0
proanthocyanins,2.5317872124087283e-21,3.6570259734792745e-21,0.013942405446429171,19.0
magnesium,5.362686646669348e-16,6.337720582427412e-16,0.03580716627685988,19.0
alcalinity_of_ash,6.26802791207301e-17,8.148436285694913e-17,0.010576067204515873,21.0
nonflavanoid_phenols,4.938195842245947e-14,5.349712162433109e-14,0.010438599315081327,24.0
ash,9.247857607009547e-07,9.247857607009547e-07,0.006991549401910779,26.0
